State,Race,St_rce,ACS,BRFSS_SV,SV,Qualflag_SV,,,,,,,
ID,Blk,ID_Blk,0.0034,0.0022032,0,1,,,,,,,
ID,Hsp,ID_Hsp,0.0816,0.0792727,0.106848,0,,,,,,,
ID,API,ID_API,0.01079,0.0130955,0.0138064,1,,,,,,,
ID,NAAI,ID_NAAI,0.01143,0.0112058,0.0111121,1,,,,,,,
ID,Oth,ID_Oth,0.01366,0.0180773,0.0820839,1,,,,,,,
MS,Wht,MS_Wht,0.6288,0.6330555,0.0329573,0,,,,,,,
MS,Blk,MS_Blk,0.33582,0.3232724,0.0564399,0,,,,,,,
MS,Hsp,MS_Hsp,0.01692,0.0203471,0.0298641,1,,,,,,,
MS,API,MS_API,0.00805,0.0044567,0.1037941,1,,,,,,,
MS,NAAI,MS_NAAI,0.00367,0.0058252,0,1,,,,,,,
MS,Oth,MS_Oth,0.00675,0.0130431,0.0418983,1,,,,,,,
MO,Wht,MO_Wht,0.84822,0.8481413,0.0239492,0,,,,,,,
MO,Blk,MO_Blk,0.10077,0.072959,0.0511469,0,,,,,,,
MO,Hsp,MO_Hsp,0.0232,0.034928,0.0292728,1,,,,,,,
MO,API,MO_API,0.01479,0.0071169,0.1730756,1,,,,,,,
MO,NAAI,MO_NAAI,0.0041,0.0084937,0.0757847,1,,,,,,,
MO,Oth,MO_Oth,0.00891,0.0283611,0.1469472,1,,,,,,,
NV,Wht,NV_Wht,0.64347,0.6574914,0.0416909,0,,,,,,,
NV,Blk,NV_Blk,0.06459,0.0400614,0.0327553,1,,,,,,,
NV,Hsp,NV_Hsp,0.19949,0.1866565,0.0754684,0,,,,,,,
NV,API,NV_API,0.06522,0.0142252,0.0583912,1,,,,,,,
NV,NAAI,NV_NAAI,0.00893,0.0074815,0,1,,,,,,,
NV,Oth,NV_Oth,0.0183,0.0940838,0.0597873,0,,,,,,,
OH,Wht,OH_Wht,0.84888,0.86398,0.03627,0,,,,,,,
OH,Blk,OH_Blk,0.10618,0.0648563,0.05492,0,,,,,,,
OH,Hsp,OH_Hsp,0.01957,0.0182905,0.0787669,1,,,,,,,
OH,API,OH_API,0.01472,0.0128743,0.0169369,1,,,,,,,
OH,NAAI,OH_NAAI,0.00192,0.0057464,0.0098056,1,,,,,,,
OH,Oth,OH_Oth,0.00872,0.0342525,0.0301837,0,,,,,,,
OK,Wht,OK_Wht,0.7593,0.7229061,0.0166326,0,,,,,,,
OK,Blk,OK_Blk,0.06436,0.0628897,0.024242,0,,,,,,,
OK,Hsp,OK_Hsp,0.05255,0.075283,0.0478159,0,,,,,,,
OK,API,OK_API,0.01581,0.0117999,0.0120467,1,,,,,,,
OK,NAAI,OK_NAAI,0.06456,0.0731088,0.022112,0,,,,,,,
OK,Oth,OK_Oth,0.04341,0.0540125,0.0360993,0,,,,,,,
RI,Wht,RI_Wht,0.82585,0.8472499,0.0222205,0,,,,,,,
RI,Blk,RI_Blk,0.0382,0.0253131,0.0519497,1,,,,,,,
RI,Hsp,RI_Hsp,0.09228,0.0815342,0.0445076,0,,,,,,,
RI,API,RI_API,0.02373,0.0164369,0.0579685,1,,,,,,,
RI,NAAI,RI_NAAI,0.0032,0.0089018,0.1339255,1,,,,,,,
RI,Oth,RI_Oth,0.01674,0.0205641,0.1627584,0,,,,,,,
SC,Wht,SC_Wht,0.68187,0.6754073,0.0211811,0,,,,,,,
SC,Blk,SC_Blk,0.26735,0.266153,0.0337897,0,,,,,,,
SC,Hsp,SC_Hsp,0.03041,0.0216964,0.0269298,1,,,,,,,
SC,API,SC_API,0.01066,0.0068964,0.0629669,1,,,,,,,
SC,NAAI,SC_NAAI,0.00301,0.008574,0.0557426,1,,,,,,,
SC,Oth,SC_Oth,0.00668,0.0212729,0.0208985,1,,,,,,,
TN,Wht,TN_Wht,0.80188,0.7880063,0.0289183,0,,,,,,,
TN,Blk,TN_Blk,0.15148,0.1548485,0.0614071,0,,,,,,,
TN,Hsp,TN_Hsp,0.02549,0.0159664,0.3357189,1,,,,,,,
TN,API,TN_API,0.01164,0.0059267,0,1,,,,,,,
TN,NAAI,TN_NAAI,0.00289,0.0088276,0.0168627,1,,,,,,,
TN,Oth,TN_Oth,0.00661,0.0264244,0.1441327,1,,,,,,,
VT,Wht,VT_Wht,0.96725,0.9459243,0.01923,0,,,,,,,
VT,Blk,VT_Blk,0.0027,0.0027758,0,1,,,,,,,
VT,Hsp,VT_Hsp,0.00517,0.0162207,0.0588651,1,,,,,,,
VT,API,VT_API,0.01117,0.0069288,0,1,,,,,,,
VT,NAAI,VT_NAAI,0.00167,0.0078449,0.0805753,1,,,,,,,
VT,Oth,VT_Oth,0.01204,0.0203054,0.0743134,1,,,,,,,
VA,Wht,VA_Wht,0.70504,0.7880502,0.0224612,0,,,,,,,
VA,Blk,VA_Blk,0.17942,0.1220815,0.033883,0,,,,,,,
VA,Hsp,VA_Hsp,0.05394,0.0290869,0.0368785,1,,,,,,,
VA,API,VA_API,0.04775,0.0227362,0.0468644,1,,,,,,,
VA,NAAI,VA_NAAI,0.00306,0.0089265,0.1296413,1,,,,,,,
VA,Oth,VA_Oth,0.0108,0.0291186,0.0261495,1,,,,,,,
WI,Wht,WI_Wht,0.88427,0.9176937,0.0336748,0,,,,,,,
WI,Blk,WI_Blk,0.04714,0.0293889,0.0358773,0,,,,,,,
WI,Hsp,WI_Hsp,0.03676,0.0224327,0.1681657,0,,,,,,,
WI,API,WI_API,0.018,0.0095901,0.0249289,1,,,,,,,
WI,NAAI,WI_NAAI,0.00717,0.0068795,0.0361854,1,,,,,,,
WI,Oth,WI_Oth,0.00667,0.0140151,0.1133083,1,,,,,,,
